[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
26 32 3 4 4 0 100 6.081 8.385 
32 40 3 4 4 0 100 6.644 9.348 
40 51 3 4 4 0 100 6.810 10.737 
51 64 3 4 4 0 100 6.531 12.100 
64 80 3 4 4 0 100 8.080 13.357 
80 101 3 4 4 0 100 6.555 14.358 
101 127 3 4 4 0 100 6.690 15.949 
127 159 3 4 4 0 100 6.870 16.529 
159 200 3 4 4 0 100 6.895 18.094 
200 252 3 4 4 0 100 6.446 18.331 
252 317 3 4 4 0 100 6.467 19.605 
317 399 3 4 4 0 100 6.362 20.382 
399 502 3 4 4 0 100 3.857 24.809 
502 632 3 4 4 0 100 5.852 22.660 
632 795 3 4 4 0 100 2.892 26.193 
795 1000 3 4 4 0 100 2.654 27.659 
1000 3500 3 4 4 0 100 6.342 21.692 
20 26 4 5 4 0 100 6.644 7.602 
26 32 4 5 4 0 100 7.136 8.853 
32 40 4 5 4 0 100 6.591 9.956 
40 51 4 5 4 0 100 7.110 11.029 
51 64 4 5 4 0 100 7.359 12.476 
64 80 4 5 4 0 100 7.517 13.585 
80 101 4 5 4 0 100 7.847 15.252 
101 127 4 5 4 0 100 6.676 16.164 
127 159 4 5 4 0 100 6.702 17.307 
159 200 4 5 4 0 100 6.361 18.626 
200 252 4 5 4 0 100 6.053 19.105 
252 317 4 5 4 0 100 5.885 20.365 
317 399 4 5 4 0 100 6.228 21.122 
399 502 4 5 4 0 100 6.091 21.035 
502 632 4 5 4 0 100 5.253 20.978 
632 795 4 5 4 0 100 7.123 22.087 
795 1000 4 5 4 0 100 4.304 23.619 
1000 3500 4 5 4 0 100 4.650 24.092 
20 26 5 6 4 0 100 6.492 8.011 
26 32 5 6 4 0 100 6.760 9.259 
32 40 5 6 4 0 100 6.953 10.303 
40 51 5 6 4 0 100 7.440 11.487 
51 64 5 6 4 0 100 7.544 12.933 
64 80 5 6 4 0 100 7.657 14.082 
80 101 5 6 4 0 100 7.874 15.350 
101 127 5 6 4 0 100 7.411 16.512 
127 159 5 6 4 0 100 7.220 17.746 
159 200 5 6 4 0 100 6.713 18.973 
200 252 5 6 4 0 100 6.868 19.508 
252 317 5 6 4 0 100 6.614 20.661 
317 399 5 6 4 0 100 6.735 21.083 
399 502 5 6 4 0 100 6.991 21.530 
502 632 5 6 4 0 100 7.731 21.580 
632 795 5 6 4 0 100 7.224 21.896 
795 1000 5 6 4 0 100 7.351 23.846 
1000 3500 5 6 4 0 100 5.666 23.636 
20 26 6 7 4 0 100 6.599 8.723 
26 32 6 7 4 0 100 7.406 9.713 
32 40 6 7 4 0 100 7.448 10.572 
40 51 6 7 4 0 100 7.992 11.957 
51 64 6 7 4 0 100 7.937 13.325 
64 80 6 7 4 0 100 8.036 14.391 
80 101 6 7 4 0 100 7.724 15.820 
101 127 6 7 4 0 100 7.398 16.839 
127 159 6 7 4 0 100 7.034 17.986 
159 200 6 7 4 0 100 6.857 19.290 
200 252 6 7 4 0 100 6.998 20.299 
252 317 6 7 4 0 100 6.494 20.886 
317 399 6 7 4 0 100 6.334 21.582 
399 502 6 7 4 0 100 6.904 21.898 
502 632 6 7 4 0 100 6.355 22.901 
632 795 6 7 4 0 100 8.546 22.487 
795 1000 6 7 4 0 100 7.027 25.655 
1000 3500 6 7 4 0 100 10.111 22.294 
20 26 7 8 4 0 100 6.688 9.021 
26 32 7 8 4 0 100 7.724 9.985 
32 40 7 8 4 0 100 7.923 11.105 
40 51 7 8 4 0 100 8.419 12.258 
51 64 7 8 4 0 100 7.823 13.566 
64 80 7 8 4 0 100 8.243 15.072 
80 101 7 8 4 0 100 7.787 16.294 
101 127 7 8 4 0 100 8.000 17.376 
127 159 7 8 4 0 100 7.435 18.350 
159 200 7 8 4 0 100 7.120 19.475 
200 252 7 8 4 0 100 6.939 20.412 
252 317 7 8 4 0 100 7.011 21.146 
317 399 7 8 4 0 100 6.807 21.884 
399 502 7 8 4 0 100 6.690 22.564 
502 632 7 8 4 0 100 7.560 23.037 
632 795 7 8 4 0 100 8.140 23.009 
795 1000 7 8 4 0 100 9.350 21.953 
1000 3500 7 8 4 0 100 7.233 23.666 
20 26 8 9 4 0 100 7.294 9.435 
26 32 8 9 4 0 100 7.739 10.327 
32 40 8 9 4 0 100 7.938 11.521 
40 51 8 9 4 0 100 8.475 12.734 
51 64 8 9 4 0 100 8.397 14.114 
64 80 8 9 4 0 100 8.465 15.342 
80 101 8 9 4 0 100 8.005 16.517 
101 127 8 9 4 0 100 7.908 17.706 
127 159 8 9 4 0 100 7.853 18.851 
159 200 8 9 4 0 100 7.379 19.892 
200 252 8 9 4 0 100 7.099 20.591 
252 317 8 9 4 0 100 7.001 21.678 
317 399 8 9 4 0 100 7.226 22.261 
399 502 8 9 4 0 100 7.702 22.765 
502 632 8 9 4 0 100 7.581 23.457 
632 795 8 9 4 0 100 7.964 23.457 
795 1000 8 9 4 0 100 6.843 24.117 
1000 3500 8 9 4 0 100 9.714 23.416 
20 26 9 10 4 0 100 7.263 9.799 
26 32 9 10 4 0 100 7.909 10.813 
