[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
26 32 19 100 4 0 100 4.489 14.280 
32 40 19 100 4 0 100 7.314 14.232 
40 51 19 100 4 0 100 6.787 15.620 
51 64 19 100 4 0 100 7.425 14.684 
64 80 19 100 4 0 100 10.760 15.632 
80 101 19 100 4 0 100 7.090 15.646 
101 127 19 100 4 0 100 6.758 16.586 
127 159 19 100 4 0 100 5.742 17.682 
159 200 19 100 4 0 100 6.463 18.144 
200 252 19 100 4 0 100 5.328 18.985 
252 317 19 100 4 0 100 5.411 20.500 
317 399 19 100 4 0 100 5.762 21.274 
399 502 19 100 4 0 100 5.722 21.256 
502 632 19 100 4 0 100 6.430 23.848 
632 795 19 100 4 0 100 2.902 24.300 
795 1000 19 100 4 0 100 4.782 26.203 
1000 3500 19 100 4 0 100 7.667 23.801 
[gluon]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_gluon}
20 26 0 1 4 0 100 4.997 6.048 
26 32 0 1 4 0 100 5.642 7.076 
32 40 0 1 4 0 100 5.968 8.043 
40 51 0 1 4 0 100 6.289 9.378 
51 64 0 1 4 0 100 6.295 10.584 
64 80 0 1 4 0 100 6.466 11.882 
80 101 0 1 4 0 100 6.218 13.201 
101 127 0 1 4 0 100 6.101 14.385 
127 159 0 1 4 0 100 5.993 15.556 
159 200 0 1 4 0 100 5.670 16.560 
200 252 0 1 4 0 100 5.522 17.476 
252 317 0 1 4 0 100 5.487 18.567 
317 399 0 1 4 0 100 5.617 19.017 
399 502 0 1 4 0 100 5.420 19.798 
502 632 0 1 4 0 100 5.698 19.888 
632 795 0 1 4 0 100 5.907 20.857 
795 1000 0 1 4 0 100 6.629 20.480 
1000 3500 0 1 4 0 100 6.844 20.843 
20 26 1 2 4 0 100 5.307 6.380 
26 32 1 2 4 0 100 5.775 7.448 
32 40 1 2 4 0 100 6.262 8.500 
40 51 1 2 4 0 100 6.556 9.749 
51 64 1 2 4 0 100 6.691 11.018 
64 80 1 2 4 0 100 6.719 12.324 
80 101 1 2 4 0 100 6.561 13.577 
101 127 1 2 4 0 100 6.451 14.789 
127 159 1 2 4 0 100 6.230 15.978 
159 200 1 2 4 0 100 6.014 17.050 
200 252 1 2 4 0 100 5.707 17.933 
252 317 1 2 4 0 100 5.660 18.815 
317 399 1 2 4 0 100 5.586 19.740 
399 502 1 2 4 0 100 5.756 20.341 
502 632 1 2 4 0 100 5.736 20.787 
632 795 1 2 4 0 100 6.086 21.160 
795 1000 1 2 4 0 100 5.911 20.933 
1000 3500 1 2 4 0 100 6.906 20.648 
20 26 2 3 4 0 100 5.562 6.727 
26 32 2 3 4 0 100 6.135 7.747 
32 40 2 3 4 0 100 6.398 8.831 
40 51 2 3 4 0 100 6.748 10.059 
51 64 2 3 4 0 100 6.904 11.407 
64 80 2 3 4 0 100 6.926 12.653 
80 101 2 3 4 0 100 6.911 13.958 
101 127 2 3 4 0 100 6.615 15.185 
127 159 2 3 4 0 100 6.430 16.331 
159 200 2 3 4 0 100 6.174 17.487 
200 252 2 3 4 0 100 6.052 18.352 
252 317 2 3 4 0 100 5.850 19.255 
317 399 2 3 4 0 100 5.800 20.152 
399 502 2 3 4 0 100 5.956 20.700 
502 632 2 3 4 0 100 5.939 21.051 
632 795 2 3 4 0 100 6.119 21.466 
795 1000 2 3 4 0 100 6.298 21.409 
1000 3500 2 3 4 0 100 7.100 21.381 
20 26 3 4 4 0 100 5.766 7.044 
26 32 3 4 4 0 100 6.396 8.054 
32 40 3 4 4 0 100 6.654 9.144 
40 51 3 4 4 0 100 6.989 10.404 
51 64 3 4 4 0 100 7.057 11.705 
64 80 3 4 4 0 100 7.102 13.010 
80 101 3 4 4 0 100 7.005 14.264 
101 127 3 4 4 0 100 6.867 15.516 
127 159 3 4 4 0 100 6.530 16.664 
159 200 3 4 4 0 100 6.371 17.785 
200 252 3 4 4 0 100 6.064 18.783 
252 317 3 4 4 0 100 6.018 19.572 
317 399 3 4 4 0 100 5.892 20.392 
399 502 3 4 4 0 100 6.074 20.986 
502 632 3 4 4 0 100 6.176 21.435 
632 795 3 4 4 0 100 6.251 21.562 
795 1000 3 4 4 0 100 6.380 21.742 
1000 3500 3 4 4 0 100 7.718 21.906 
20 26 4 5 4 0 100 6.002 7.331 
26 32 4 5 4 0 100 6.515 8.376 
32 40 4 5 4 0 100 6.923 9.448 
40 51 4 5 4 0 100 7.242 10.696 
51 64 4 5 4 0 100 7.327 12.015 
64 80 4 5 4 0 100 7.287 13.294 
80 101 4 5 4 0 100 7.227 14.584 
101 127 4 5 4 0 100 6.987 15.807 
127 159 4 5 4 0 100 6.732 16.972 
159 200 4 5 4 0 100 6.588 18.071 
200 252 4 5 4 0 100 6.324 19.044 
