[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
64 80 4 5 4 0 100 11.957 15.330 
80 101 4 5 4 0 100 12.057 16.732 
101 127 4 5 4 0 100 11.899 18.164 
127 159 4 5 4 0 100 11.588 19.756 
159 200 4 5 4 0 100 11.385 21.387 
200 252 4 5 4 0 100 11.194 23.130 
252 317 4 5 4 0 100 10.616 24.941 
317 399 4 5 4 0 100 10.328 26.840 
399 502 4 5 4 0 100 10.122 28.765 
502 632 4 5 4 0 100 9.808 30.539 
632 795 4 5 4 0 100 9.304 32.457 
795 1000 4 5 4 0 100 9.478 33.727 
1000 3500 4 5 4 0 100 9.275 36.730 
20 26 5 6 4 0 100 11.485 10.746 
26 32 5 6 4 0 100 11.943 11.670 
32 40 5 6 4 0 100 12.391 12.636 
40 51 5 6 4 0 100 12.477 13.739 
51 64 5 6 4 0 100 12.623 14.926 
64 80 5 6 4 0 100 12.617 16.166 
80 101 5 6 4 0 100 12.771 17.542 
101 127 5 6 4 0 100 12.378 18.999 
127 159 5 6 4 0 100 12.320 20.602 
159 200 5 6 4 0 100 11.865 22.212 
200 252 5 6 4 0 100 11.478 23.974 
252 317 5 6 4 0 100 11.165 25.826 
317 399 5 6 4 0 100 10.951 27.656 
399 502 5 6 4 0 100 10.611 29.541 
502 632 5 6 4 0 100 10.097 31.390 
632 795 5 6 4 0 100 9.820 33.637 
795 1000 5 6 4 0 100 9.801 34.757 
1000 3500 5 6 4 0 100 9.881 37.070 
20 26 6 7 4 0 100 12.449 11.529 
26 32 6 7 4 0 100 12.614 12.511 
32 40 6 7 4 0 100 12.950 13.522 
40 51 6 7 4 0 100 13.251 14.586 
51 64 6 7 4 0 100 13.360 15.766 
64 80 6 7 4 0 100 13.370 16.992 
80 101 6 7 4 0 100 13.287 18.372 
101 127 6 7 4 0 100 13.230 19.857 
127 159 6 7 4 0 100 12.670 21.407 
159 200 6 7 4 0 100 12.677 23.095 
200 252 6 7 4 0 100 11.957 24.799 
252 317 6 7 4 0 100 11.696 26.638 
317 399 6 7 4 0 100 11.194 28.634 
399 502 6 7 4 0 100 10.822 30.484 
502 632 6 7 4 0 100 10.630 32.329 
632 795 6 7 4 0 100 9.914 34.120 
795 1000 6 7 4 0 100 10.110 35.612 
1000 3500 6 7 4 0 100 10.443 37.636 
20 26 7 8 4 0 100 13.072 12.342 
26 32 7 8 4 0 100 13.392 13.324 
32 40 7 8 4 0 100 13.935 14.278 
40 51 7 8 4 0 100 14.246 15.361 
51 64 7 8 4 0 100 13.962 16.581 
64 80 7 8 4 0 100 14.062 17.809 
80 101 7 8 4 0 100 13.940 19.206 
101 127 7 8 4 0 100 13.958 20.675 
127 159 7 8 4 0 100 13.499 22.223 
159 200 7 8 4 0 100 13.128 23.926 
200 252 7 8 4 0 100 12.775 25.631 
252 317 7 8 4 0 100 12.148 27.532 
317 399 7 8 4 0 100 11.806 29.374 
399 502 7 8 4 0 100 11.354 31.224 
502 632 7 8 4 0 100 10.983 33.148 
632 795 7 8 4 0 100 10.769 34.813 
795 1000 7 8 4 0 100 10.141 36.764 
1000 3500 7 8 4 0 100 10.622 38.632 
20 26 8 9 4 0 100 13.724 13.102 
26 32 8 9 4 0 100 14.172 14.140 
32 40 8 9 4 0 100 14.336 15.050 
40 51 8 9 4 0 100 14.679 16.154 
51 64 8 9 4 0 100 14.748 17.357 
64 80 8 9 4 0 100 14.585 18.617 
80 101 8 9 4 0 100 14.549 20.000 
101 127 8 9 4 0 100 14.408 21.435 
127 159 8 9 4 0 100 13.962 22.992 
159 200 8 9 4 0 100 13.655 24.676 
200 252 8 9 4 0 100 13.252 26.415 
252 317 8 9 4 0 100 12.598 28.247 
317 399 8 9 4 0 100 12.372 30.134 
399 502 8 9 4 0 100 11.951 32.003 
502 632 8 9 4 0 100 11.472 33.780 
632 795 8 9 4 0 100 11.431 35.513 
795 1000 8 9 4 0 100 11.481 36.901 
1000 3500 8 9 4 0 100 11.638 39.079 
20 26 9 10 4 0 100 14.392 13.892 
26 32 9 10 4 0 100 14.651 14.877 
32 40 9 10 4 0 100 14.974 15.817 
40 51 9 10 4 0 100 15.299 16.954 
51 64 9 10 4 0 100 15.435 18.143 
64 80 9 10 4 0 100 15.194 19.383 
80 101 9 10 4 0 100 15.305 20.718 
101 127 9 10 4 0 100 14.804 22.204 
127 159 9 10 4 0 100 14.753 23.715 
159 200 9 10 4 0 100 14.259 25.389 
200 252 9 10 4 0 100 13.675 27.177 
252 317 9 10 4 0 100 13.160 29.067 
317 399 9 10 4 0 100 12.639 31.038 
399 502 9 10 4 0 100 12.159 32.671 
502 632 9 10 4 0 100 11.242 34.733 
632 795 9 10 4 0 100 11.036 36.318 
795 1000 9 10 4 0 100 11.459 38.082 
1000 3500 9 10 4 0 100 10.206 39.963 
20 26 10 11 4 0 100 15.374 14.677 
26 32 10 11 4 0 100 15.419 15.595 
32 40 10 11 4 0 100 15.790 16.621 
40 51 10 11 4 0 100 15.905 17.691 
51 64 10 11 4 0 100 15.865 18.895 
64 80 10 11 4 0 100 15.782 20.139 
80 101 10 11 4 0 100 15.865 21.440 
101 127 10 11 4 0 100 15.642 22.963 
127 159 10 11 4 0 100 15.208 24.527 
159 200 10 11 4 0 100 14.688 26.172 
200 252 10 11 4 0 100 14.353 27.900 
252 317 10 11 4 0 100 13.760 29.927 
317 399 10 11 4 0 100 13.036 31.634 
399 502 10 11 4 0 100 12.823 33.648 
502 632 10 11 4 0 100 12.120 35.465 
632 795 10 11 4 0 100 12.086 37.256 
795 1000 10 11 4 0 100 11.760 38.739 
1000 3500 10 11 4 0 100 10.043 41.311 
20 26 11 12 4 0 100 15.536 15.360 
26 32 11 12 4 0 100 16.033 16.294 
32 40 11 12 4 0 100 16.388 17.309 
40 51 11 12 4 0 100 16.057 18.419 
51 64 11 12 4 0 100 16.471 19.601 
64 80 11 12 4 0 100 16.418 20.836 
80 101 11 12 4 0 100 16.139 22.225 
101 127 11 12 4 0 100 15.992 23.666 
127 159 11 12 4 0 100 15.918 25.292 
159 200 11 12 4 0 100 15.215 26.906 
200 252 11 12 4 0 100 14.836 28.732 
252 317 11 12 4 0 100 14.312 30.613 
317 399 11 12 4 0 100 13.584 32.453 
399 502 11 12 4 0 100 12.948 34.339 
502 632 11 12 4 0 100 11.714 36.258 
632 795 11 12 4 0 100 12.450 38.124 
795 1000 11 12 4 0 100 11.877 39.217 
1000 3500 11 12 4 0 100 11.414 42.817 
